,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,id_mix
103,No,32,Yes,Engineer,1.0,Low,3.0,Cat_6,D,F_459318
104,Yes,26,Yes,Executive,0.0,Low,3.0,Cat_6,D,M_459320
105,No,42,Yes,Marketing,0.0,Low,1.0,Cat_6,A,M_459322
106,No,18,No,Doctor,,Low,,Cat_6,D,F_459323
107,Yes,80,No,Executive,,Low,,Cat_6,D,M_459338
108,Yes,29,Yes,Healthcare,8.0,High,2.0,Cat_6,C,M_459339
109,Yes,88,Yes,Artist,1.0,High,2.0,Cat_6,D,F_459344
110,Yes,70,Yes,Lawyer,1.0,Low,1.0,Cat_6,A,M_459347
111,Yes,50,Yes,Artist,1.0,High,4.0,Cat_6,B,F_459349
112,Yes,43,Yes,Doctor,4.0,Average,4.0,Cat_3,B,M_459352
113,Yes,51,Yes,Artist,6.0,Average,2.0,Cat_6,B,M_459353
114,Yes,50,Yes,Artist,,High,3.0,Cat_6,B,F_459354
115,Yes,74,No,Homemaker,,Low,1.0,Cat_6,B,F_459355
116,No,29,Yes,Healthcare,,Low,3.0,Cat_6,A,F_459360
117,No,32,Yes,Engineer,,Low,2.0,Cat_6,D,F_459361
118,Yes,60,No,Executive,0.0,Low,2.0,Cat_6,D,M_459362
119,No,46,Yes,Artist,2.0,Low,1.0,Cat_6,C,M_459363
120,Yes,81,Yes,Marketing,0.0,Low,2.0,Cat_6,B,F_459364
121,Yes,41,No,Engineer,,Average,7.0,Cat_4,A,M_459369
122,Yes,22,No,Executive,0.0,High,4.0,Cat_6,A,M_459375
123,Yes,37,Yes,Artist,0.0,Average,3.0,Cat_6,D,M_459377
124,Yes,43,No,Engineer,0.0,Low,1.0,Cat_6,D,M_459383
125,Yes,50,Yes,Artist,1.0,Average,3.0,Cat_6,D,M_459384
126,Yes,35,Yes,Artist,1.0,Average,2.0,Cat_7,A,F_459385
127,Yes,65,No,Lawyer,1.0,High,2.0,Cat_6,C,M_459386
128,No,41,Yes,Engineer,0.0,Low,4.0,Cat_6,B,F_459391
129,No,28,No,Entertainment,8.0,Low,2.0,Cat_6,D,M_459394
130,Yes,55,Yes,Artist,4.0,Average,2.0,Cat_6,A,M_459397
131,Yes,58,No,Lawyer,,High,2.0,Cat_6,B,F_459398
132,No,28,No,Healthcare,1.0,Low,3.0,,C,M_459401
133,Yes,48,Yes,Artist,,Average,4.0,Cat_7,B,M_459403
134,Yes,78,No,Doctor,1.0,High,2.0,Cat_6,B,F_459405
135,No,35,Yes,Doctor,1.0,Low,3.0,Cat_6,A,F_459407
136,Yes,76,Yes,Lawyer,0.0,High,2.0,Cat_6,B,F_459409
137,Yes,88,Yes,Lawyer,1.0,High,2.0,Cat_6,A,F_459410
138,Yes,61,Yes,,1.0,Average,3.0,Cat_6,D,M_459412
139,Yes,79,Yes,Artist,,High,2.0,Cat_6,B,F_459413
140,No,30,No,Doctor,0.0,Low,4.0,Cat_6,A,M_459415
141,Yes,69,No,Executive,0.0,High,2.0,Cat_6,C,M_459418
142,Yes,65,Yes,Doctor,1.0,Average,2.0,Cat_6,B,M_459419
143,Yes,70,Yes,Lawyer,1.0,Low,2.0,Cat_6,C,F_459420
144,Yes,32,No,Healthcare,0.0,Average,4.0,Cat_6,D,M_459421
145,Yes,46,Yes,Entertainment,,Low,4.0,Cat_6,A,M_459422
146,No,21,No,Healthcare,8.0,Low,5.0,Cat_6,A,M_459423
147,Yes,47,Yes,Doctor,,Low,3.0,Cat_6,B,M_459424
148,No,39,No,Marketing,0.0,Low,2.0,Cat_4,D,F_459428
149,Yes,85,Yes,Lawyer,0.0,Low,3.0,Cat_6,C,M_459432
150,No,66,Yes,Artist,0.0,Low,2.0,Cat_6,A,F_459436
151,Yes,50,Yes,Artist,1.0,Average,2.0,Cat_6,A,F_459439
152,Yes,42,Yes,Artist,0.0,Average,3.0,Cat_6,B,F_459445
153,Yes,53,Yes,Artist,9.0,Low,1.0,Cat_6,C,M_459447
154,Yes,37,Yes,Artist,,Low,2.0,Cat_6,A,M_459449
155,Yes,45,Yes,Artist,1.0,Low,2.0,Cat_6,D,F_459451
156,No,66,No,Lawyer,,Low,1.0,Cat_6,A,F_459456
157,No,33,No,Marketing,,Low,,Cat_6,C,M_459458
158,Yes,40,Yes,Artist,4.0,Low,1.0,Cat_6,A,M_459459
159,Yes,35,Yes,Artist,1.0,Low,1.0,Cat_1,B,F_459461
160,No,27,Yes,Artist,,Low,2.0,Cat_6,A,M_459464
161,Yes,48,Yes,Artist,0.0,Average,3.0,Cat_4,A,F_459466
162,Yes,56,Yes,Artist,0.0,Average,2.0,Cat_6,B,F_459467
163,Yes,25,Yes,Healthcare,,Low,6.0,Cat_6,B,M_459469
164,No,30,No,Artist,,Low,8.0,Cat_6,A,F_459471
165,Yes,46,Yes,Entertainment,7.0,Low,3.0,Cat_6,C,F_459480
166,Yes,49,No,Lawyer,0.0,Low,2.0,Cat_6,C,M_459481
167,Yes,72,No,Marketing,1.0,Low,4.0,Cat_6,C,M_459482
168,Yes,79,Yes,Lawyer,,High,2.0,Cat_6,C,F_459485
169,No,35,Yes,Artist,,Low,3.0,Cat_6,A,F_459496
170,Yes,77,Yes,Lawyer,0.0,Low,1.0,Cat_6,B,F_459497
171,Yes,79,No,Lawyer,,High,2.0,Cat_6,C,F_459499
172,Yes,42,Yes,Healthcare,6.0,High,4.0,Cat_6,D,M_459503
173,No,42,Yes,Engineer,,Low,1.0,Cat_6,A,F_459505
174,Yes,67,No,Lawyer,,High,2.0,Cat_1,B,M_459507
175,No,26,Yes,Healthcare,1.0,Low,1.0,Cat_6,B,M_459509
176,Yes,67,Yes,Lawyer,1.0,High,2.0,Cat_6,A,M_459512
177,Yes,55,Yes,Engineer,1.0,Low,1.0,Cat_6,D,M_459515
178,,56,Yes,Artist,,Average,2.0,Cat_6,D,F_459516
179,Yes,63,,,,Average,4.0,Cat_6,A,M_459518
180,Yes,46,Yes,Artist,8.0,Average,2.0,Cat_6,C,M_459535
181,Yes,32,Yes,Healthcare,7.0,Low,2.0,Cat_6,D,M_459536
182,No,49,Yes,Homemaker,13.0,Low,1.0,Cat_6,B,F_459538
183,Yes,59,Yes,Artist,1.0,High,2.0,Cat_6,C,M_459541
184,No,22,No,Healthcare,8.0,Low,5.0,Cat_4,D,M_459549
185,No,28,Yes,Artist,8.0,Low,1.0,Cat_6,B,F_459555
186,No,28,Yes,Entertainment,1.0,Low,3.0,Cat_6,A,M_459558
187,Yes,75,Yes,Lawyer,2.0,Low,1.0,Cat_6,D,M_459564
188,Yes,37,Yes,Artist,13.0,Low,2.0,Cat_6,A,F_459566
189,Yes,50,Yes,Doctor,0.0,Average,2.0,Cat_6,B,M_459567
190,Yes,50,Yes,Executive,1.0,High,4.0,Cat_6,C,F_459571
191,Yes,88,No,Lawyer,,Low,,,B,F_459576
192,Yes,35,Yes,Artist,3.0,Average,5.0,Cat_4,A,F_459579
193,No,35,No,,,Low,,Cat_7,C,F_459581
194,Yes,31,No,Entertainment,,Average,3.0,Cat_6,A,M_459582
195,Yes,46,Yes,Artist,0.0,Low,1.0,Cat_6,C,M_459583
196,Yes,50,Yes,Artist,1.0,Average,4.0,Cat_6,C,F_459585
197,No,33,Yes,Artist,7.0,Low,3.0,Cat_6,A,F_459587
198,Yes,49,Yes,Artist,0.0,Low,1.0,Cat_6,A,M_459588
199,Yes,52,Yes,Artist,1.0,Average,3.0,Cat_6,C,M_459591
200,No,25,No,Healthcare,0.0,Low,3.0,Cat_6,D,M_459592
201,Yes,41,Yes,Artist,6.0,Low,1.0,Cat_6,D,F_459594
202,Yes,68,Yes,Artist,0.0,High,2.0,Cat_6,D,F_459597
203,Yes,79,No,Lawyer,2.0,High,2.0,Cat_6,A,F_459603
204,Yes,40,Yes,Entertainment,5.0,Average,5.0,Cat_6,A,M_459607
205,No,62,Yes,Doctor,,Low,1.0,Cat_6,D,F_459608
206,No,21,No,Healthcare,,Low,2.0,Cat_6,D,M_459612
207,No,20,No,Healthcare,,Low,4.0,Cat_1,D,F_459616
208,No,28,Yes,Entertainment,1.0,Low,5.0,Cat_6,C,M_459617
209,Yes,57,Yes,Doctor,0.0,Average,2.0,Cat_4,B,M_459618
210,No,25,No,Healthcare,8.0,Low,,,A,F_459621
211,Yes,63,No,Engineer,8.0,Low,1.0,Cat_6,B,F_459625
212,Yes,26,No,Entertainment,1.0,Low,3.0,Cat_6,D,F_459626
213,Yes,50,No,Marketing,0.0,High,3.0,Cat_4,C,F_459632
214,No,30,No,Marketing,9.0,Low,4.0,Cat_2,D,F_459644
215,No,26,No,Engineer,,Low,4.0,Cat_4,B,F_459652
216,Yes,61,Yes,Artist,1.0,Average,3.0,Cat_6,C,M_459658
217,No,42,Yes,Artist,3.0,Low,1.0,Cat_6,A,M_459664
218,Yes,88,Yes,Artist,4.0,Low,2.0,Cat_6,A,M_459665
219,Yes,45,No,Artist,3.0,Average,3.0,Cat_6,A,M_459672
220,Yes,86,Yes,Lawyer,1.0,Low,1.0,Cat_6,C,F_459673
221,No,18,No,Healthcare,1.0,Low,5.0,Cat_6,A,M_459678
222,No,37,Yes,Entertainment,,Low,1.0,Cat_6,B,M_459680
223,Yes,46,Yes,Artist,1.0,Low,1.0,Cat_6,A,M_459686
224,Yes,58,No,Artist,,Average,2.0,Cat_6,D,M_459691
225,Yes,72,Yes,Lawyer,8.0,High,2.0,Cat_6,A,F_459692
226,Yes,50,Yes,Artist,0.0,High,3.0,,C,F_459693
227,,56,Yes,Engineer,8.0,Average,3.0,Cat_6,A,F_459699
228,No,46,No,Artist,3.0,Low,3.0,Cat_5,D,M_459701
229,Yes,57,Yes,Artist,,Low,1.0,Cat_6,D,M_459710
230,Yes,42,No,Executive,9.0,High,6.0,Cat_6,D,M_459711
231,No,20,No,Healthcare,,Low,4.0,Cat_6,D,M_459712
232,No,19,No,Healthcare,,Low,3.0,Cat_6,C,M_459713
233,No,19,No,Healthcare,4.0,Low,4.0,Cat_6,D,M_459715
234,Yes,68,Yes,Executive,1.0,Low,1.0,Cat_6,B,M_459718
235,Yes,40,Yes,Artist,0.0,Low,2.0,Cat_6,A,F_459725
236,Yes,82,No,Lawyer,,High,2.0,Cat_6,D,M_459727
237,No,23,No,Healthcare,1.0,Low,3.0,Cat_6,D,F_459740
238,Yes,84,No,Lawyer,1.0,High,2.0,Cat_6,D,F_459742
239,Yes,51,No,Artist,0.0,Low,4.0,Cat_1,C,M_459745
240,,59,Yes,Artist,1.0,Average,2.0,Cat_6,B,M_459746
241,Yes,41,Yes,Artist,1.0,Average,5.0,Cat_6,C,F_459747
242,Yes,51,No,Executive,1.0,High,2.0,Cat_6,B,M_459748
243,Yes,62,No,Artist,,Average,3.0,Cat_6,C,F_459755
244,Yes,62,No,Lawyer,1.0,High,4.0,Cat_4,C,F_459756
245,Yes,38,Yes,Artist,8.0,Low,1.0,Cat_6,A,F_459760
246,No,18,No,Artist,,Low,4.0,Cat_4,D,M_459763
247,No,22,No,Healthcare,3.0,Low,4.0,Cat_6,D,M_459767
248,,30,Yes,Doctor,0.0,Low,3.0,Cat_3,A,F_459771
249,Yes,62,Yes,Entertainment,1.0,Low,1.0,Cat_6,B,F_459779
250,No,43,No,Entertainment,1.0,Low,3.0,Cat_6,A,F_459780
251,No,32,Yes,Engineer,,Low,1.0,Cat_3,D,F_459785
252,Yes,37,Yes,Artist,1.0,High,,Cat_6,B,M_459793
253,No,48,Yes,Artist,1.0,Low,1.0,Cat_6,B,M_459795
254,No,31,Yes,Engineer,4.0,Low,2.0,Cat_6,B,F_459801
255,Yes,46,No,Artist,4.0,High,4.0,Cat_6,C,M_459804
256,Yes,49,No,Engineer,1.0,Average,4.0,Cat_6,A,F_459806
257,Yes,43,No,Doctor,,Average,4.0,Cat_6,A,M_459808
258,No,42,Yes,Artist,8.0,Low,1.0,Cat_6,A,M_459815
259,Yes,37,Yes,Doctor,,Low,2.0,Cat_6,A,M_459816
260,Yes,72,Yes,Entertainment,,High,2.0,Cat_6,C,M_459819
261,,71,No,Executive,,High,1.0,,A,M_459821
262,No,39,Yes,Engineer,1.0,Low,1.0,Cat_4,D,F_459822
263,No,20,No,Healthcare,0.0,Low,5.0,Cat_2,D,M_459825
264,No,26,No,,,Low,1.0,Cat_7,A,F_459827
265,Yes,72,Yes,Executive,1.0,Low,1.0,Cat_6,D,M_459832
266,Yes,70,Yes,Healthcare,0.0,Low,1.0,Cat_4,B,M_459845
267,No,45,Yes,Artist,2.0,Low,1.0,Cat_6,C,M_459851
268,No,33,No,Executive,7.0,Low,5.0,Cat_6,D,M_459853
269,Yes,50,No,Entertainment,0.0,Average,3.0,Cat_6,C,M_459856
270,No,31,Yes,Entertainment,6.0,Low,1.0,Cat_6,A,M_459857
271,Yes,74,No,Lawyer,1.0,High,2.0,Cat_6,B,F_459861
272,Yes,68,No,Artist,,High,2.0,Cat_6,A,F_459864
273,No,49,Yes,Artist,,Low,1.0,Cat_6,D,F_459866
274,Yes,49,Yes,Marketing,0.0,High,2.0,Cat_6,C,M_459867
275,No,18,No,Healthcare,1.0,Low,3.0,Cat_6,A,F_459869
276,Yes,85,No,Entertainment,2.0,Average,2.0,Cat_6,C,F_459871
277,No,38,Yes,Entertainment,,Low,4.0,Cat_6,A,F_459885
278,Yes,28,No,Artist,0.0,Low,4.0,Cat_6,A,M_459886
279,Yes,46,No,Artist,3.0,Average,2.0,,D,M_459887
280,Yes,59,Yes,Homemaker,9.0,Average,3.0,Cat_6,B,M_459889
281,Yes,56,Yes,Artist,0.0,Low,2.0,Cat_6,B,F_459897
282,Yes,69,Yes,Artist,0.0,Low,1.0,Cat_6,C,M_459909
283,Yes,66,Yes,Artist,0.0,Low,2.0,Cat_6,C,M_459910
284,No,18,No,Healthcare,4.0,Low,6.0,Cat_2,D,M_459911
285,No,36,Yes,Artist,4.0,Low,1.0,Cat_4,A,M_459914
286,No,31,Yes,Marketing,1.0,Low,2.0,Cat_3,B,M_459923
287,Yes,67,No,Executive,1.0,High,2.0,Cat_4,D,M_459925
288,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,D,F_459937
289,No,42,Yes,Entertainment,4.0,Low,3.0,Cat_6,C,M_459943
290,Yes,50,Yes,Artist,0.0,Low,2.0,Cat_6,A,M_459945
291,Yes,37,Yes,Artist,0.0,Average,2.0,Cat_6,D,F_459946
292,No,59,Yes,Artist,0.0,Low,1.0,Cat_6,C,F_459949
293,Yes,50,Yes,Artist,8.0,Low,2.0,Cat_6,D,M_459953
294,Yes,48,Yes,Artist,8.0,Low,3.0,Cat_2,B,M_459961
295,Yes,55,Yes,Artist,9.0,Low,1.0,Cat_6,B,M_459962
296,No,33,Yes,Doctor,1.0,Low,3.0,Cat_6,A,F_459966
297,No,38,Yes,Artist,13.0,Low,1.0,Cat_7,A,M_459968
298,No,43,Yes,Artist,0.0,Low,2.0,Cat_6,A,M_459970
299,No,53,Yes,Artist,0.0,Low,2.0,Cat_6,A,F_459973
300,No,37,Yes,Entertainment,0.0,Low,1.0,Cat_6,B,M_459974
301,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,A,F_459975
302,No,36,Yes,Artist,5.0,Low,1.0,Cat_6,A,M_459981
303,Yes,62,Yes,Artist,1.0,Low,1.0,Cat_6,D,M_459986
304,No,38,No,Artist,2.0,Low,2.0,Cat_6,B,F_459995
305,No,55,Yes,Entertainment,1.0,Low,1.0,Cat_6,B,M_459996
306,Yes,60,No,Entertainment,1.0,Average,2.0,Cat_6,C,M_459998
307,Yes,36,Yes,Entertainment,7.0,Average,2.0,Cat_5,A,F_460004
308,No,30,No,Entertainment,5.0,Low,9.0,Cat_3,D,M_460006
309,No,66,No,Entertainment,4.0,Low,3.0,Cat_6,A,F_460014
310,Yes,45,Yes,Entertainment,1.0,Low,1.0,Cat_6,D,M_460023
311,No,40,Yes,Entertainment,6.0,Low,,Cat_6,C,F_460027
312,,45,Yes,Entertainment,5.0,Low,3.0,Cat_6,D,F_460033
313,Yes,41,Yes,,2.0,Low,1.0,Cat_6,B,M_460036
314,Yes,62,Yes,Homemaker,4.0,Low,1.0,Cat_5,A,F_460040
315,Yes,61,Yes,Artist,1.0,Low,2.0,Cat_6,C,M_460045
316,Yes,50,Yes,Artist,4.0,Low,2.0,Cat_6,D,F_460046
317,Yes,53,Yes,Entertainment,3.0,Low,2.0,Cat_6,A,M_460050
318,No,39,Yes,Artist,7.0,Low,1.0,Cat_6,A,M_460051
319,No,86,Yes,Lawyer,0.0,Low,1.0,Cat_3,D,F_460052
320,Yes,50,Yes,Artist,1.0,Low,1.0,Cat_4,B,M_460058
321,No,46,No,Entertainment,4.0,Low,,Cat_4,A,F_460059
322,No,52,Yes,Marketing,0.0,Low,1.0,Cat_3,B,M_460061
323,No,45,No,Marketing,0.0,Low,1.0,Cat_6,B,F_460066
324,No,37,Yes,Artist,9.0,Low,1.0,Cat_6,A,F_460068
325,Yes,36,Yes,Engineer,3.0,Low,1.0,Cat_6,B,F_460073
326,No,25,Yes,Artist,,Low,1.0,Cat_6,D,F_460075
327,No,40,No,Doctor,1.0,Low,1.0,Cat_6,B,F_460079
328,Yes,41,Yes,Artist,11.0,High,2.0,Cat_6,A,M_460081
329,Yes,25,Yes,Homemaker,,High,2.0,Cat_6,B,F_460088
330,Yes,80,No,Lawyer,4.0,Average,2.0,Cat_6,B,M_460090
331,No,46,Yes,Artist,3.0,Low,1.0,Cat_3,A,F_460093
332,Yes,81,Yes,Lawyer,1.0,Low,1.0,Cat_6,D,F_460095
333,,40,Yes,Artist,0.0,Low,2.0,Cat_3,B,M_460097
334,No,49,Yes,,1.0,Low,1.0,Cat_3,A,M_460099
335,No,26,Yes,Healthcare,8.0,Low,3.0,Cat_3,D,F_460101
336,No,26,Yes,Artist,1.0,Low,1.0,Cat_4,D,M_460103
337,No,47,Yes,Artist,0.0,Low,1.0,Cat_4,A,F_460105
338,Yes,71,Yes,Entertainment,0.0,Low,,Cat_6,A,F_460106
339,Yes,48,Yes,Engineer,1.0,Average,5.0,Cat_6,C,M_460107
340,Yes,39,Yes,Artist,1.0,Average,3.0,Cat_2,B,M_460108
341,Yes,50,Yes,Artist,8.0,Average,2.0,Cat_6,B,M_460109
342,No,46,Yes,Artist,1.0,Low,2.0,,B,F_460110
343,Yes,26,Yes,Engineer,8.0,Average,2.0,Cat_3,D,M_460112
344,Yes,42,Yes,,1.0,Low,2.0,Cat_6,D,F_460116
345,Yes,36,Yes,Artist,4.0,Low,2.0,Cat_6,D,F_460118
346,No,29,Yes,Healthcare,1.0,Low,4.0,Cat_6,D,M_460119
347,No,39,No,Artist,1.0,Low,1.0,Cat_6,A,F_460122
348,No,41,Yes,Artist,0.0,Low,3.0,Cat_6,B,F_460124
349,Yes,48,Yes,Marketing,8.0,Low,,Cat_6,C,F_460126
350,Yes,40,Yes,Entertainment,9.0,High,3.0,Cat_6,C,M_460134
351,No,25,Yes,Healthcare,4.0,Low,3.0,Cat_6,A,F_460135
352,Yes,41,Yes,Artist,7.0,Low,2.0,Cat_6,A,F_460140
353,No,37,Yes,Artist,11.0,Low,1.0,Cat_6,A,M_460141
354,No,53,Yes,Doctor,0.0,Low,,Cat_3,A,F_460144
355,Yes,51,Yes,Engineer,0.0,Average,3.0,Cat_3,A,F_460146
356,Yes,73,Yes,Entertainment,1.0,Average,3.0,Cat_6,D,M_460147
357,Yes,61,No,,1.0,Low,5.0,Cat_4,D,M_460157
358,No,39,Yes,Entertainment,5.0,Low,1.0,Cat_3,A,M_460160
359,No,19,No,Healthcare,0.0,Low,4.0,Cat_2,D,F_460162
360,No,19,No,Healthcare,0.0,Low,7.0,Cat_2,A,F_460166
